Red,Green,Blue,Nearest Color Name
0,0,0,Black
0,0,32,Black
0,0,64,MidnightBlue
0,0,96,Navy
0,0,128,Navy
0,0,160,DarkBlue
0,0,192,MediumBlue
0,0,224,MediumBlue
0,32,0,Black
0,32,32,Black
0,32,64,MidnightBlue
0,32,96,MidnightBlue
0,32,128,MidnightBlue
0,32,160,DarkBlue
0,32,192,MediumBlue
0,32,224,MediumBlue
0,64,0,DarkGreen
0,64,32,DarkGreen
0,64,64,DarkSlateGray
0,64,96,MidnightBlue
0,64,128,MidnightBlue
0,64,160,MidnightBlue
0,64,192,MediumBlue
0,64,224,MediumBlue
0,96,0,DarkGreen
0,96,32,DarkGreen
0,96,64,DarkSlateGray
0,96,96,DarkSlateGray
0,96,128,DarkCyan
0,96,160,DarkCyan
0,96,192,DarkCyan
0,96,224,DodgerBlue
0,128,0,Green
0,128,32,Green
0,128,64,ForestGreen
0,128,96,DarkCyan
0,128,128,DarkCyan
0,128,160,DarkCyan
0,128,192,DarkCyan
0,128,224,DodgerBlue
0,160,0,Green
0,160,32,ForestGreen
0,160,64,ForestGreen
0,160,96,DarkCyan
0,160,128,DarkCyan
0,160,160,DarkCyan
0,160,192,LightSeaGreen
0,160,224,DeepSkyBlue
0,192,0,Lime
0,192,32,LimeGreen
0,192,64,LimeGreen
0,192,96,MediumSeaGreen
0,192,128,DarkCyan
0,192,160,LightSeaGreen
0,192,192,DarkTurquoise
0,192,224,DarkTurquoise
0,224,0,Lime
0,224,32,Lime
0,224,64,LimeGreen
0,224,96,MediumSpringGreen
0,224,128,MediumSpringGreen
0,224,160,MediumSpringGreen
0,224,192,DarkTurquoise
0,224,224,DarkTurquoise
32,0,0,Black
32,0,32,Black
32,0,64,MidnightBlue
32,0,96,MidnightBlue
32,0,128,MidnightBlue
32,0,160,DarkBlue
32,0,192,MediumBlue
32,0,224,MediumBlue
32,32,0,Black
32,32,32,Black
32,32,64,MidnightBlue
32,32,96,MidnightBlue
32,32,128,MidnightBlue
32,32,160,MidnightBlue
32,32,192,MediumBlue
32,32,224,MediumBlue
32,64,0,DarkGreen
32,64,32,DarkSlateGray
32,64,64,DarkSlateGray
32,64,96,DarkSlateGray
32,64,128,DarkSlateBlue
32,64,160,DarkSlateBlue
32,64,192,DarkSlateBlue
32,64,224,MediumBlue
32,96,0,DarkGreen
32,96,32,ForestGreen
32,96,64,DarkSlateGray
32,96,96,DarkSlateGray
32,96,128,DarkSlateGray
32,96,160,DarkSlateBlue
32,96,192,DarkSlateBlue
32,96,224,DodgerBlue
32,128,0,Green
32,128,32,ForestGreen
32,128,64,ForestGreen
32,128,96,DarkSlateGray
32,128,128,DarkCyan
32,128,160,DarkCyan
32,128,192,LightSeaGreen
32,128,224,DodgerBlue
32,160,0,ForestGreen
32,160,32,ForestGreen
32,160,64,ForestGreen
32,160,96,MediumSeaGreen
32,160,128,MediumSeaGreen
32,160,160,LightSeaGreen
32,160,192,LightSeaGreen
32,160,224,DodgerBlue
32,192,0,LimeGreen
32,192,32,LimeGreen
32,192,64,LimeGreen
32,192,96,MediumSeaGreen
32,192,128,MediumSeaGreen
32,192,160,LightSeaGreen
32,192,192,LightSeaGreen
32,192,224,DarkTurquoise
32,224,0,Lime
32,224,32,LimeGreen
32,224,64,LimeGreen
32,224,96,LimeGreen
32,224,128,MediumSpringGreen
32,224,160,MediumSpringGreen
32,224,192,DarkTurquoise
32,224,224,DarkTurquoise
64,0,0,Black
64,0,32,Black
64,0,64,MidnightBlue
64,0,96,Indigo
64,0,128,Indigo
64,0,160,Indigo
64,0,192,Indigo
64,0,224,MediumBlue
64,32,0,Black
64,32,32,DarkSlateGray
64,32,64,DarkSlateGray
64,32,96,MidnightBlue
64,32,128,DarkSlateBlue
64,32,160,DarkSlateBlue
64,32,192,DarkSlateBlue
64,32,224,MediumBlue
64,64,0,DarkOliveGreen
64,64,32,DarkOliveGreen
64,64,64,DarkSlateGray
64,64,96,DarkSlateGray
64,64,128,DarkSlateBlue
64,64,160,DarkSlateBlue
64,64,192,DarkSlateBlue
64,64,224,MediumSlateBlue
64,96,0,DarkOliveGreen
64,96,32,DarkOliveGreen
64,96,64,DarkSlateGray
64,96,96,DarkSlateGray
64,96,128,DarkSlateBlue
64,96,160,DarkSlateBlue
